start_date_time;RCORR_E
2014-11-03 06:18:00;230.810
2014-11-03 06:19:00;232.240
2014-11-03 06:20:00;227.110
2014-11-03 06:21:00;233.860
2014-11-03 06:22:00;230.440
2014-11-03 06:23:00;231.910
2014-11-03 06:24:00;226.130
2014-11-03 06:25:00;228.130
2014-11-03 06:26:00;240.250
2014-11-03 06:27:00;234.090
2014-11-03 06:28:00;236.020
2014-11-03 06:29:00;233.610
2014-11-03 06:30:00;230.790
2014-11-03 06:31:00;236.940
2014-11-03 06:32:00;235.040
2014-11-03 06:33:00;235.870
2014-11-03 06:34:00;227.880
2014-11-03 06:35:00;230.040
2014-11-03 06:36:00;226.980
2014-11-03 06:37:00;230.260
2014-11-03 06:38:00;235.420
2014-11-03 06:39:00;235.020
2014-11-03 06:40:00;234.640
2014-11-03 06:41:00;236.820
2014-11-03 06:42:00;234.790
2014-11-03 06:43:00;236.170
2014-11-03 06:44:00;231.340
2014-11-03 06:45:00;235.770
2014-11-03 06:46:00;237.090
2014-11-03 06:47:00;232.390
2014-11-03 06:48:00;229.510
2014-11-03 06:49:00;232.190
2014-11-03 06:50:00;235.290
2014-11-03 06:51:00;237.970
2014-11-03 06:52:00;234.620
2014-11-03 06:53:00;235.020
2014-11-03 06:54:00;232.490
2014-11-03 06:55:00;229.260
2014-11-03 06:56:00;237.990
2014-11-03 06:57:00;230.390
2014-11-03 06:58:00;234.620
2014-11-03 06:59:00;231.040
2014-11-03 07:00:00;235.290
2014-11-03 07:01:00;232.110
2014-11-03 07:02:00;239.270
2014-11-03 07:03:00;231.040
2014-11-03 07:04:00;227.810
2014-11-03 07:05:00;231.340
2014-11-03 07:06:00;234.120
2014-11-03 07:07:00;236.240
2014-11-03 07:08:00;234.040
2014-11-03 07:09:00;233.210
2014-11-03 07:10:00;234.720
2014-11-03 07:11:00;239.970
2014-11-03 07:12:00;229.410
2014-11-03 07:13:00;235.420
2014-11-03 07:14:00;237.240
2014-11-03 07:15:00;236.640
2014-11-03 07:16:00;231.710
2014-11-03 07:17:00;234.470
2014-11-03 07:18:00;238.720
2014-11-03 07:19:00;233.190
2014-11-03 07:20:00;229.480
2014-11-03 07:21:00;229.110
2014-11-03 07:22:00;232.040
2014-11-03 07:23:00;234.620
2014-11-03 07:24:00;229.380
2014-11-03 07:25:00;232.710
2014-11-03 07:26:00;231.860
2014-11-03 07:27:00;226.910
2014-11-03 07:28:00;229.690
2014-11-03 07:29:00;234.270
2014-11-03 07:30:00;235.190
2014-11-03 07:31:00;231.940
2014-11-03 07:32:00;232.010
2014-11-03 07:33:00;231.010
2014-11-03 07:34:00;232.210
2014-11-03 07:35:00;237.520
2014-11-03 07:36:00;230.990
2014-11-03 07:37:00;235.090
2014-11-03 07:38:00;235.990
2014-11-03 07:39:00;230.410
2014-11-03 07:40:00;232.960
2014-11-03 07:41:00;230.110
2014-11-03 07:42:00;236.390
2014-11-03 07:43:00;237.270
2014-11-03 07:44:00;233.260
2014-11-03 07:45:00;234.920
2014-11-03 07:46:00;232.860
2014-11-03 07:47:00;236.990
2014-11-03 07:48:00;233.310
2014-11-03 07:49:00;237.540
2014-11-03 07:50:00;232.690
2014-11-03 07:51:00;230.240
2014-11-03 07:52:00;233.240
2014-11-03 07:53:00;233.910
2014-11-03 07:54:00;236.040
2014-11-03 07:55:00;233.990
2014-11-03 07:56:00;237.920
2014-11-03 07:57:00;245.830
2014-11-03 07:58:00;235.290
2014-11-03 07:59:00;235.240
2014-11-03 08:00:00;228.280
2014-11-03 08:01:00;238.700
2014-11-03 08:02:00;235.020
2014-11-03 08:03:00;232.010
2014-11-03 08:04:00;235.970
2014-11-03 08:05:00;234.390
2014-11-03 08:06:00;232.410
2014-11-03 08:07:00;232.910
2014-11-03 08:08:00;238.070
2014-11-03 08:09:00;232.360
2014-11-03 08:10:00;240.000
2014-11-03 08:11:00;235.070
2014-11-03 08:12:00;230.390
2014-11-03 08:13:00;230.510
2014-11-03 08:14:00;237.090
2014-11-03 08:15:00;235.340
2014-11-03 08:16:00;236.970
2014-11-03 08:17:00;231.960
2014-11-03 08:18:00;239.470
2014-11-03 08:19:00;235.340
2014-11-03 08:20:00;232.540
2014-11-03 08:21:00;236.440
2014-11-03 08:22:00;231.440
2014-11-03 08:23:00;234.270
2014-11-03 08:24:00;232.960
2014-11-03 08:25:00;236.420
2014-11-03 08:26:00;242.100
2014-11-03 08:27:00;235.870
2014-11-03 08:28:00;234.640
2014-11-03 08:29:00;228.610
2014-11-03 08:30:00;233.740
2014-11-03 08:31:00;237.290
2014-11-03 08:32:00;235.840
2014-11-03 08:33:00;235.670
2014-11-03 08:34:00;236.220
2014-11-03 08:35:00;231.860
2014-11-03 08:36:00;233.640
2014-11-03 08:37:00;232.010
2014-11-03 08:38:00;237.090
2014-11-03 08:39:00;232.440
2014-11-03 08:40:00;229.430
2014-11-03 08:41:00;231.190
2014-11-03 08:42:00;228.810
2014-11-03 08:43:00;234.010
2014-11-03 08:44:00;233.640
2014-11-03 08:45:00;227.680
2014-11-03 08:46:00;231.440
2014-11-03 08:47:00;233.040
2014-11-03 08:48:00;230.140
2014-11-03 08:49:00;234.570
2014-11-03 08:50:00;237.740
2014-11-03 08:51:00;236.120
2014-11-03 08:52:00;234.590
2014-11-03 08:53:00;234.740
2014-11-03 08:54:00;232.710
2014-11-03 08:55:00;233.610
2014-11-03 08:56:00;236.740
2014-11-03 08:57:00;229.310
2014-11-03 08:58:00;238.070
2014-11-03 08:59:00;231.090
2014-11-03 09:00:00;232.610
2014-11-03 09:01:00;229.990
2014-11-03 09:02:00;230.440
2014-11-03 09:03:00;235.420
2014-11-03 09:04:00;231.090
2014-11-03 09:05:00;237.890
2014-11-03 09:06:00;234.440
2014-11-03 09:07:00;232.540
2014-11-03 09:08:00;229.230
2014-11-03 09:09:00;225.200
2014-11-03 09:10:00;233.410
2014-11-03 09:11:00;227.080
2014-11-03 09:12:00;233.760
2014-11-03 09:13:00;236.220
2014-11-03 09:14:00;229.310
2014-11-03 09:15:00;238.870
2014-11-03 09:16:00;234.740
2014-11-03 09:17:00;230.790
2014-11-03 09:18:00;238.090
2014-11-03 09:19:00;239.300
2014-11-03 09:20:00;230.160
2014-11-03 09:21:00;231.340
2014-11-03 09:22:00;236.590
2014-11-03 09:23:00;238.820
2014-11-03 09:24:00;235.670
2014-11-03 09:25:00;236.790
2014-11-03 09:26:00;233.890
2014-11-03 09:27:00;231.860
2014-11-03 09:28:00;234.520
2014-11-03 09:29:00;229.580
2014-11-03 09:30:00;234.890
2014-11-03 09:31:00;230.140
2014-11-03 09:32:00;235.020
2014-11-03 09:33:00;234.340
2014-11-03 09:34:00;235.470
2014-11-03 09:35:00;236.790
2014-11-03 09:36:00;231.040
2014-11-03 09:37:00;232.340
2014-11-03 09:38:00;238.270
2014-11-03 09:39:00;231.510
2014-11-03 09:40:00;233.890
2014-11-03 09:41:00;231.340
2014-11-03 09:42:00;235.240
